title,company,date_posted,skills_required,job_desc,link,city,state
Developer,CIBC India,2026-01-20 08:35:48+00:00,"['python', 'ai']","What Youll Be Doing (position summary): As a Full Stack Developer, you will design, develop, and maintain scalable generative AI applications using Python and Vue.js. You will collaborate with cross-functional teams to deliver high-quality solutions, ensure code quality through best practices and testing, and contribute to the continuous improvement of our technology stack and processes. At CIBC India we enable the work environment most optimal for you to thrive in your role. Details on your wo…",https://www.adzuna.in/land/ad/5591948786?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=BC0225C092DD072EAAF81C64B4714046D2700591,Hyderabad,Telangana
Developer,Birlasoft,2026-02-17 09:43:06+00:00,"['python', 'aws', 'ai']","Job Description (Developer) Generative AI Developer (AWS-Native) Location All BSL / Hybrid Experience 5–10 years (with hands-on GenAI experience preferred) Role Summary We are seeking a Generative AI Developer to design, build, deploy, and operate AI-powered applications natively on AWS . The ideal candidate has strong experience in Python , hands-on expertise with AWS Bedrock (Agent Core SDK) , AWS Strands SDK , and a solid foundation in cloud-native development, DevOps pipelines, and observab…",https://www.adzuna.in/land/ad/5632728089?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=1614BF505C0F216B36533FD8C80ECFD6547CC1B8,Hyderabad,Telangana
Developer,CIBC India,2026-02-18 09:39:25+00:00,['ai'],"What Youll Be Doing (position summary): Designs, develops, and implements solutions for Intellect IDAL Liquidity Management, Cash Management, and Payments. Collaborates with business analysts and architects to deliver robust applications that support businessobjectivesand operational efficiency. At CIBC India we enable the work environment most optimal for you to thrive in your role. Details on your work arrangement (including on-site and remote work) will be discussed at the time of your inter…",https://www.adzuna.in/land/ad/5634049986?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=D3EDD3095008CBC570F351D4E9ACB1137EF31484,Hyderabad,Telangana
Developer,Terra Technology Circle Consulting Private Limited,2026-02-21 02:58:09+00:00,['ai'],"The profile open is for the role of a developer with the skills required- Snowflake, Airflow & DBT. The years of experience should be anywhere between 4 to 6 years. Relevant exp with Snowflake, Airflow & DBT. Airflow DBT dev is must The job location is in Gurgaon",https://www.adzuna.in/land/ad/5638899970?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=C37EB79E149D3610CD1026F88B266BB0F049187F,Delhi,
Brand Development & Channel Development Manager,Lubz Corporation,2026-02-17 09:37:06+00:00,['git'],"Industry: Automobile Department: Sales & Marketing Reports To: Head – Sales & Marketing 1. Introduction The automobile industry is one of the most dynamic, competitive, and rapidly evolving sectors in the global economy. With increasing competition, technological advancement, digital transformation, electric mobility trends, and changing consumer expectations, organizations must continuously strengthen their brand positioning and optimize their distribution and sales networks. The role of the B…",https://www.adzuna.in/land/ad/5632720468?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=16417152E1F794366E89B13C85F70B5D5B397C02,Mumbai,Maharashtra
Blue Yonder Developer or JDA Developer,Diligente Technologies,2026-01-16 15:35:52+00:00,['ai'],"We are seeking a seasoned Engineer, IT Merchandising with expertise in Blue Yonder Category Management / Blue Yonder Space Planning (formerly JDA) to design, development, and implement merchandising solutions. The ideal candidate will play a role in optimizing space planning, category management, and overall merchandising strategies to enhance business performance and customer experience. Key Responsibilities: Design, Develop, Test & Maintain: Design, develop, test, and maintain Blue Yonder Cat…",https://www.adzuna.in/land/ad/5587678380?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=A4FC56CFDA11B961A06CBB8F6B0E4CD3395D968B,,
Senior EDI Developer / Lead Developer,Quadrant IT Services,2026-02-01 17:03:58+00:00,['ai'],"Senior EDI Developer / Lead Developer Role overview This role is for a senior EDI developer / lead developer responsible for designing, implementing, and maintaining EDI integrations and platforms for enterprise customers. The position demands working closely with business, infrastructure, and application teams to deliver highly available B2B solutions. Key responsibilities :  Design, develop, and maintain EDI integrations and maps across multiple trading partners and business domains (logistic…",https://www.adzuna.in/land/ad/5608593697?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=8607300BDD4EA2A0C1C92B3D5E3FE0587DC586AB,Hyderabad,Telangana
AI Developer,Telna,2026-02-02 17:13:37+00:00,['ai'],"AI Developer Job Description We are looking for an AI Development Practice Lead to join our team to establish practices and patterns for AI-assisted development. This includes coaching and training developers, building documentation for the knowledge base, and creating MCP servers where applicable. You will leverage tools like Cursor AI, Claude Code, and similar assistants to accelerate development across both front end and back end systems. This is a unique opportunity to work with cutting-edg…",https://www.adzuna.in/land/ad/5610226491?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=9AF9BA32B64D1EC8C0E1CD55A8E4C6C6F1A331A9,Pune,Maharashtra
AIML Development,Best Infosystems Ltd.,2025-06-06 09:44:01+00:00,['ai'],"AIML Development_Full-Time, Permanent_Noida Job Title: AIML Development Job Type: Full-Time, Permanent Location: Noida Experience: 2-7 years Job Description: Roles: * AI/ML Developer (2-3 years experience) – Develop, fine-tune, and deploy AI/ML models. * Senior AI/ML Developer (5-7 years experience) – Lead AI/ML projects, optimize large-scale models, and mentor junior developers. What We’re Looking For: * B.Tech / M.Tech in Computer Science, AI, or related fields. * AI/ML Developer:2-3 years of…",https://www.adzuna.in/land/ad/5235651283?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=BBC8E967273D1B47499E773E2697F1599EE479ED,Noida,Ghaziabad
Kentico Developer,Gigasolv Consulting,2026-02-08 02:09:35+00:00,['ai'],"Summary: We are seeking a highly skilled and experienced Kentico Developer to join our team. As a Kentico Developer, you will be responsible for designing, developing, and maintaining Kentico-based websites and web applications. Your expertise in Kentico CMS and development best practices will play a crucial role in delivering high-quality solutions to our clients. The ideal candidate will have 6-7 years of experience working with Kentico CMS and a strong background in web development. Responsi…",https://www.adzuna.in/land/ad/5619628170?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=4B7F0CAA9F74DD8DF555280B8B8AF8DD96A1614E,Hyderabad,Telangana
ServiceNow Developer,Brace Infotech Private Ltd,2026-02-04 17:29:18+00:00,[],"Servicenow Developer Experience :- 5-10 years Notice period - only immediate Mode of Working – Hybrid (2 days WFO) Work Location : Hyderabad, Pune, Bangalore other locations remote Interview Mode - 1st Level virtual and 2nd level (In-person mandatory) Role Description This is a full-time hybrid role for a Servicenow Developer . The developer will be responsible for day-to-day tasks related to back-end web development, software development, programming, and object-oriented programming. While the…",https://www.adzuna.in/land/ad/5613495730?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=D5E41C6BE8EECEF733B92345FC9F6CE338D8DDA4,Hyderabad,Telangana
Unreal Developer,Arth,2026-02-11 18:28:02+00:00,['git'],"We are looking for a talented Unreal Developer to join our production team. This role involves working on live projects, implementing changes, and ensuring the stability and optimization of active applications. The ideal candidate should have a strong background in Unreal Engine development, with an emphasis on Digital Twin applications, UI/UX design (including graphs and charts), API and WebSocket integration, multiplayer gameplay, and performance optimization. Key Responsibilities Develop and…",https://www.adzuna.in/land/ad/5624249342?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=05CDEC2C93FB694675607DFBA64727FE18AA2742,Hyderabad,Telangana
Cognos Developer,MOURI Tech,2026-02-02 01:07:05+00:00,['ai'],"Cognos Developer Location: Hyderabad Work Mode: Work From Office Shift: 4:00 PM – 1:00 AM IST Employment Type: Full-Time Experience: Minimum 5 Years Notice Period: Immediate joiners preferred Role Overview The Cognos Developer will be responsible for report development and analytics for all areas of the business. The goal will be to deliver quality work in a timely fashion consistent with established standards. Work will consist of report development, dashboard development, framework maintenanc…",https://www.adzuna.in/land/ad/5609237586?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=6DF11727B2004735E2A281D9025DF56E07085496,Hyderabad,Telangana
Mulesoft Developer,Tata Consultancy Services,2026-02-21 10:56:26+00:00,[],"Role: Mulesoft Developer Experinece: 5 Plus Location: Pan India Technical/Functional Skills - Strongly Preferred Development lead candidates who have 5 years of hands-on experience in Development, End to End Project Lifecycle, Middleware/Integration. Primary Expertise in MuleSoft 4 - Experience in JIRA, Agile Development - Preferred candidates with experience in API management through AnyPoint Platform -Experience in working with Business solution leads for QA Success criteria Integration/Middl…",https://www.adzuna.in/land/ad/5639286522?se=rK9Q4RUP8RGCOqer9fzSag&utm_medium=api&utm_source=f0b4ed84&v=5662A27DD785A04F6A9E9BF50242D2C5FABA6DF3,Hyderabad,Telangana
