Company,Count
persistent systems,60
tata consultancy services,54
ltimindtree,24
luxoft,19
brace infotech private ltd,12
capgemini,11
coforge,11
valuemomentum,10
people prime worldwide,10
recro,9
luxoft india,8
cibc india,7
birlasoft,7
best infosystems ltd.,7
intraedge,7
synechron,7
"prudent technologies and consulting, inc.",6
acl digital,6
lorven technologies inc.,6
programmers.io,6
mufg global service,6
deloitte,5
l&t technology services,5
webologix ltd/ inc,5
insight global,5
capgemini engineering,5
delta air lines,5
turing,5
publicis sapient,4
atyeti inc,4
blue spire inc,4
hcltech,4
qualizeal,4
qualitykiosk technologies,4
teksystems global services in india,4
quess it staffing,4
yash technologies,3
binary semantics ltd.,3
bajaj technology services,3
synechron technologies pvt. ltd.,3
thesundaygames,3
peoplefy,3
integrated personnel services limited,3
waferwire cloud technologies,3
infosys,3
sid global solutions,3
digile,3
accellor,3
smc squared india,3
jrd systems,3
zemoso technologies,3
graystone capital mena,3
zfunds,3
terra technology circle consulting private limited,2
telna,2
eclerx,2
people tech group inc,2
ajnalens,2
vois,2
concentrix,2
innova esi,2
teamware solutions,2
esferasoft solutions pvt ltd.,2
creospan inc.,2
worldline,2
bits in glass,2
infobeans,2
omni recruit private limited,2
charter global,2
teksystems,2
fluid touch pte ltd,2
max healthcare,2
eximietas design,2
msr technology group,2
acro hr solutions,2
worldline global services,2
lakshya software technologies pvt. ltd.,2
appit software inc,2
tata technologies,2
weagile software solutions pvt. ltd.,2
arcelormittal digital consulting,2
rapidbrains,2
sonata software,2
revolent group,2
live connections,2
mindstix software labs,2
themesoft inc.,2
eliterecruitments,2
macrohire,2
qualys,2
ascendion,2
eyeglobal solutions pvt. ltd.,2
intellias,2
indium,2
sii group india,2
varite inc,2
fnz,2
mufg pension & market services,2
vola finance,2
empenofore technologies,2
fission labs,2
superpe,2
lakkshions it private limited,2
thryve digital health llp,2
blue polaris,2
check point software,2
mars cosmetics,2
edmo,2
dexian,2
owlsure,2
reddoorz,2
ltm,2
cvent,2
coditas,2
closeloop technologies,2
easebuzz,2
igt solutions,2
vahn,2
arcana,2
aeries technology,2
questhiring,2
lubz corporation,1
diligente technologies,1
quadrant it services,1
gigasolv consulting,1
arth,1
mouri tech,1
evolve media solutions,1
spreadme digital pvt ltd,1
zinghr,1
confidential,1
suna solutions,1
i3 infotek inc,1
codewhiz solutions,1
mavenir,1
boosoft,1
c4d technology,1
bcforward,1
metasys technologies,1
nextclick,1
hype marketer,1
xebia,1
tekwissen india,1
easemytrip.com,1
tmsfirst,1
zensar technologies,1
k&k global talent solutions inc.,1
exosphere interactive llp,1
intelizign,1
micronsure,1
idox plc,1
omnitaas,1
bonanza interactive,1
bighammer india pvt ltd,1
psptechhub,1
nirvana tech solutions,1
madgeek®,1
tekhné,1
hackerearth,1
trinity technology solutions llc,1
softserv inc,1
forsys inc,1
dappunk,1
unolo,1
goodscore,1
wns,1
eltropy,1
datastack technologies,1
claidroid,1
h&r block india,1
home credit india,1
kreative & co.,1
360 brand club,1
techindo systems,1
beamx techlabs,1
talent glider,1
grid dynamics,1
1x2 network,1
sg analytics,1
buktec,1
arcitech,1
design lyric,1
bit canny technologies pvt. ltd,1
kresta softech private limited,1
ringcentral,1
yatnam technologies,1
suffescom solutions inc,1
gamemano,1
yanthraa information systems,1
dr reddy's foundation,1
movate,1
fulcrum digital inc,1
jindal stainless,1
runmap infotech private ltd.,1
allianttalent,1
workgeek services,1
autobit software service pvt ltd,1
sdlc corp,1
birdvision,1
incedo inc.,1
belwo inc,1
ignisov consulting services,1
innocito,1
aira matrix,1
technogen india pvt. ltd.,1
easy home finance limited,1
infrasity,1
admax local,1
aurigo software technologies,1
akkodis,1
webmd,1
foodhub,1
exain labs,1
nemetschek group,1
arch capital,1
csc,1
analytix business solutions  pvt. ltd.,1
digichorus technologies pvt ltd,1
keenai global,1
aprazer healthcare private limited,1
sourcebae,1
sutherland,1
talent corner hr services pvt ltd,1
"pinnacle group, inc.",1
effiasoft,1
n consulting global,1
mobiotics,1
velodata global pvt ltd,1
zydus wellness,1
bennett coleman & co. ltd.,1
datacultr,1
lunar wave llc,1
eficyent,1
sb infowaves,1
kenko wellness,1
iacg multimedia college,1
amaha,1
arctic wolf,1
drrt,1
codewalla,1
unistal global,1
begig,1
zaggle,1
tagshaw consulting limited,1
mphasis,1
parentune.com,1
cmsminds,1
straive,1
tag,1
vlink inc,1
tour 2 umrah,1
teceze,1
hclsoftware,1
cognizant,1
codinfox,1
zafify,1
big language solutions,1
vienna consultancy,1
impactron global,1
"enterprise minds, inc",1
accops,1
exide energy solutions ltd,1
proclink,1
ignite education group,1
volody,1
myremoteteam inc,1
vegam solutions,1
"eclerx services limited, mumbai, maharashtra",1
nmdcon,1
itc limited,1
creospan private limited,1
vectorshift,1
artistonk media | digital marketing agency,1
redcompass labs,1
solarsquare,1
e.soft technologies pvt ltd,1
criticalriver inc.,1
iqvia india,1
serenetic software pvt ltd,1
ozone group,1
amicon hub services,1
telus digital,1
cloud orbit technologies,1
pwc,1
radcube,1
srs consulting inc,1
wisemonk,1
aditi consulting,1
"vmc soft technologies, inc",1
oolio,1
mount talent consulting pvt ltd.,1
applicantz,1
valiance solutions,1
"elegant enterprise-wide solutions, inc.",1
amtex systems inc,1
randstad digital,1
kanerika inc,1
tata advanced systems limited,1
input zero technologies,1
tredence inc.,1
alp consulting ltd.,1
itilite,1
srinsoft inc,1
tata consultancy servicest,1
algotale group,1
risebird,1
total ai systems inc.,1
mosadad,1
control z,1
matrix comsec,1
infolob,1
oracle,1
web designer & developer jobs,1
acg world,1
genpact,1
thriwe,1
labdox,1
k12 techno services pvt. ltd.,1
servion global solutions,1
astral adhesives,1
yozora technologies private limited,1
hulp,1
vip india,1
viral pitch: influencer marketing platform,1
trova solutions,1
zakapps,1
client of mancer,1
bombaydc,1
greenway health,1
the loom,1
sra group,1
sturlite india,1
perfios,1
indihire,1
ray business technologies,1
ravsoft solutions inc.,1
resource algorithm,1
alertops,1
credflow ai,1
enabled analytics,1
owens & minor,1
keylent inc,1
kpi partners,1
malvern panalytical,1
fm india,1
heaptrace technology,1
altysys,1
driffle,1
astroyogi,1
hbeonlabs technologies private limited,1
adventure code business,1
mitra ai,1
eg payment,1
oloop technology solutions,1
gmg,1
multi nano sense technologies private limited,1
lwyd interactive,1
provue,1
jibe erp,1
onedigital entertainment,1
itc infotech,1
recmatrix consulting,1
piramal finance,1
idea elan india,1
conexxia,1
settlemint india,1
"futurism technologies, inc.",1
virtuos,1
reva university,1
sol-millennium medical group,1
unlock business consulting,1
nowwin international,1
mydata insights,1
alembic pharmaceuticals limited,1
addnode india,1
sigmoid,1
swid renewables limited,1
tata electronics,1
millipixels interactive,1
gac solutions,1
atidan technologies,1
mining tech consultancy services,1
infojini inc,1
"macauto industrial co., ltd.",1
drmartens,1
brite,1
decimal point analytics,1
dexian india,1
vistra,1
sierra cloud,1
rapido,1
infosys bpm,1
academian inc,1
247hire,1
tech mahindra,1
codevyasa,1
tata elxsi,1
htc global services,1
steepgraph,1
national payments corporation of india,1
allied container group,1
sulzer,1
evoluteiq,1
vensure employer solutions,1
intellistaff services pvt. ltd,1
fiúnex,1
improva,1
scadea software solutions,1
chandigarh university,1
the helloworld,1
lpl financial global capability center,1
custom technologies design lab,1
infosys finacle,1
lspedia,1
"ed-tech skills university, assam",1
sakon,1
quick clean laundry solutions,1
billcut.com,1
demographic hr services,1
confidential careers,1
kpg99 inc,1
larsen & toubro-vyoma,1
shalina healthcare,1
knowledgeworks global ltd.,1
kag industries,1
allegis group,1
white whiz software technologies,1
silicon patterns,1
piramal realty,1
vmock,1
etenico technologies,1
talentgigs,1
innova solutions,1
scott sheldon india pvt. ltd.,1
gacs,1
studio merchandise private limited,1
cyfuture,1
isha foundation,1
xurrent,1
teradata,1
neura ai by wundrsight health,1
dot & key skincare,1
eazydiner,1
providence india,1
xcitium,1
smartq,1
nouryon,1
as technology corporation,1
"trundl, inc",1
nexthire,1
radiansys inc.,1
hellowork consultants,1
i.t. for less,1
chalo,1
c5i,1
exasoft,1
tigi hr,1
rrootshell technologiiss pvt ltd,1
wissen technology,1
droisys,1
icg medical,1
mahaan milk foods ltd.,1
scry ai,1
kindness practice foundation,1
wonderbotz,1
n-able,1
vonnue,1
flairdeck,1
learningmate,1
worksocial | shared office space | enterprise coworking,1
purple sketch digital,1
mastech digital,1
client of solvecube,1
globalvox,1
ever quint,1
"southco, inc.",1
radiant digital,1
vayuz technologies,1
the briminc softech,1
meril,1
adani natural resources,1
embitel technologies,1
aerocraft engineering,1
infogain,1
amaris consulting,1
kings & alliance llp,1
growth panda,1
thoughtfocus,1
tie-ups manpower consultants,1
tiger analytics,1
"accelyst, llc",1
engen global,1
everestdx inc,1
waisl limited,1
cbl solutions,1
vialand india,1
ab inbev gcc india,1
atharva infotech pvt. ltd.,1
covetus,1
aerchain,1
redkill technologies,1
axiro semiconductor,1
webplat technologies pvt. ltd.,1
brillio,1
"ntt data, inc.",1
rapid circle,1
cognyte,1
crif,1
libratherm instruments pvt. ltd.,1
mcaffeine,1
thema corporate services,1
computer power group,1
resolute ai,1
neuriyam,1
avd inovex private limited,1
kumaran systems,1
nice software solutions pvt. ltd.,1
mostedge,1
salespanda,1
workforce247,1
finvasia,1
reliance industries limited,1
loch corporate services,1
crew kraftorz llp,1
whitelotus talent partners,1
lalit dalmia official,1
nuvama group,1
quvor,1
einfochips,1
hireginie,1
third wave coffee,1
superops,1
the education match,1
acuitas360,1
"williams-sonoma, inc.",1
nam info inc,1
nexusnow.ai,1
verify360,1
strategic talent partner,1
zurn elkay water solutions,1
sarvaha systems,1
capitalxb,1
daybreak,1
pwc acceleration center india,1
vetic,1
sbnri,1
r systems,1
planys technologies,1
pharmaace,1
envizn labs,1
kynhood,1
